,penyakit,gejala
615,Blood Thickening in Cats," and Types
 
The following symptoms gradually appear but run a chronic course:
 

    Weakness
    Depression
    Lack of appetite (anorexia)
    Redness of skin (erythema)
    Increased thirst and urination (polydipsia and polyuria)

 
"
616,Blood Related Deficiencies in Cats," and Types

 

The symptoms that develop in the patient depend largely on the underlying cause leading to pancytopenia. Some symptoms of leucopenia (low white-blood cell count) include repeated episodes of fever, and frequent or persistent infections. Some symptoms of anemia due to low red-blood cell count include sluggishness and pale gums.

 

Low platelet count due to thrombocytopenia may lead to tiny pinpoint bruises on the body, referred to as petechial hemorrhate, or bleeding from the moist tissues of the body, known as mucosal bleeding.

 

Other general symptoms may include lethargy, bleeding (i.e., nose bleeds or blood in the urine), and fever.

 

"
617,Blood in the Front of the Eye in Cats," and Types



The symptoms of hyphema are dependent on the extent of bleeding, whether vision has been impaired, and whether your cat has other systemic diseases.



The most common signs found during a physical examination are:




	Blood within the anterior chamber of the eye
	Corneal edema or corneal lesions
	Intraocular Pressure (IOP) may be elevated




"
618,Blood in the Chest in Cats," and Types

Acute onset:

    Symptoms of decreased blood volume usually occur before sufficient blood volume accumulates in the pleural space (lining of the chest cavity)
    Impaired respiration/respiratory distress
    Pale membranes
    Weakness and collapse
    Weak, rapid pulse
    Breathing sounds become dull


Associated with a causative factor:

    Trauma
    Blood clotting (coagulation) disorder


"
620,Blood Disorders Related to FeLV Infection in Cats," and Types


    Signs 	and symptoms of FeLV
    Weakness/lethargy
    Swollen 	lymph nodes
    Loss 	of appetite
    Weight 	loss
    Diarrhea
    Recurrent 	skin infections
    Fever
    Anemia


"
621,Blood Clot in the Lungs of Cats," and Types


    Fatigue
    Cough
    Anorexia
    Sudden 	difficulty breathing
    Inability 	to sleep or get comfortable
    Increased 	breathing rate
    Spitting 	up of blood
    Exercise 	intolerance
    Pale 	or bluish-colored gums


"
622,Blind Quiet Eye in Cats," and Types



Because Blind Quiet Eye directly affects the cat's vision, it may display several signs, including:




	Clumsy behavior (e.g., bumping into objects, tripping, falling)
	Decreased or absent menace response (i.e., does not blink when a hand is waved toward the eyes)
	Impaired visual placing responses (e.g., extends the paws incorrectly when trying to approach a nearby surface)




In addition, these problems may become more exaggerated when outside at night.



"
623,Blepharitis in Cats," of Blepharitis in Cats
Blepharitis itself is a symptom of an underlying cause. The signs of blepharitis in cats include:


	
	Swollen eyelids
	
	
	Redness, scabbing, or crusting of the eyelids
	
	
	Rubbing or pawing at the affected eye(s)
	
	
	Sores or wounds around the eyes
	
	
	Watery or thick, clear to green discharge from the eyes
	
	
	Loss of hair (alopecia) around the eyes
	
	
	Concurrent conjunctivitis
	


"
624,Bleeding of the Retina in the Eye in Cats," and Types




	Vision loss / blindness, demonstrated by bumping into objects
	Bleeding in other body parts – small bruises throughout the body
	Blood in urine, feces
	Whitish-appearing pupil
	Pupil may not contract when bright light is shone in the eyes
	Sometimes, no signs may be observed




"
625,Bleeding Disorder in Cats," and Types


    Spontaneous 	hemorrhage from mucosal surfaces:
    
        Nosebleeds
        Blood 		in the feces (black or bright red blood)
        Bloody 		urine
        Bleeding 		from the gums
        Bleeding 		from the vagina(excessively)
    
    
    Bruising 	of skin
    Prolonged 	bleeding after surgery or trauma
    Blood 	loss anemia if there is prolonged bleeding


"
626,Blastomycosis in Cats," of Blastomycosis in Cats
The symptoms of blastomycosis vary, depending on which organ system is involved. Below is a list of blasto symptoms, ordered from most to least common in cats.

These symptoms can also be non-specific, meaning they are not directly related to the fungal lesion but are related to a general feeling of illness. It is important to bring your cat to a veterinarian as quickly as possible if they have any signs of blastomycosis.


	
	Weight loss
	
	
	Lethargy
	
	
	Coughing
	
	
	Decreased or lack of appetite (anorexia)
	
	
	Difficulty breathing
	
	
	Nasal discharge, especially bloody discharge
	
	
	Eye issues or ocular changes, such as inflammation, redness, swelling, or blindness
	
	
	Enlarged lymph nodes, lumps under the skin
	
	
	Lameness, limping
	
	
	Skin lesions, abscesses
	
	
	Fever
	
	
	Neurologic changes
	
	
	Bloody urine
	
	
	Difficulty urinating
	


"
627,Birth Difficulties in Cats," and Types



Symptoms of dystocia:


	More than 30 minutes of persistent, strong, abdominal contractions without expulsion of offspring
	More than four hours from the onset of stage two to delivery of first offspring
	More than two hours between delivery of offspring
	Failure to commence labor within 24 hours of the drop in rectal temperature - below 99° F (37.2° C) (Note that drop in rectal temperature is not always consistent)
	Female cries, displays signs of pain, and constantly licks the vulvar area when contracting
	Prolonged gestation – more than 68 days from the day of mating (See Breeding, Timing)
	Presence of bloody discharge prior to delivery of first offspring or between fetuses
	Diminished or absent Ferguson reflex (stimulation or pressure to the dorsal [upper] vaginal wall to elicit abdominal straining [feathering]); the lack of this response indicates uterine inertia




"
628,Bilious Vomiting Syndrome (BVS) in Cats," of Bilious Vomiting Syndrome in Cats
Symptoms of BVS in cats include:


	
	Vomiting up yellow or green liquid
	



	
	Vomiting first thing in the morning before eating
	
	
	Appetite changes
	
	
	Weight loss
	
	
	Abdominal pain
	
	
	Nausea
	


"
629,Bile Duct Cancer in Cats," and Types

Often, cats with bile duct cancer will have a round or swollen abdomen, which can be due to an enlarged liver or fluid in the abdomen. Other common symptoms associated with the disease include:




    Lack of appetite
    Lack of energy
    Excess need to urinate and drink
    Vomiting
    Yellow-skin and/or yellow whites of eyes (as a result of bile dysfunction)

 
"
630,Basal Cell Tumor in Cats," of Basal Cell Tumors in Cats
Because basal cell tumors occur on the skin, the most noticeable sign will be a growth somewhere on your cat’s body. They can occur anywhere, but have a higher tendency to be found on the head, neck, back, or feet.

They often appear like a single, firm, hairless, sometimes ulcerated mass that may arise from a stalk or be freely moveable. Although they vary in size, they are often small, usually less than a few centimeters in diameter. In cats, they can range in color from gray to black. They can also at times be filled with fluid.

"
631,Baldness and Hormone-Related Skin Disorders in Cats," and Types

Symptoms:

    Soft, 	or dry brittle fur
    Secondary 	dandruff
    Itching
    Darkening 	of the skin
    Blackheads 	on the skin
    Abnormal 	nipples, mammary glands, vulva, prepuce (foreskin of  the penis or 	clitoris), testicles, ovaries and prostate gland
    Secondary  	bacterial infection
    Inflammation 	of the outer ear with  wax build-up
    Wetting 	the floor

Types:

    Alopecia 	(Early stage hair loss)
    
        Perineum 		(area between the vulva/scrotum and the anus)
        Stomach
        Thighs
        Back 		of the neck
    
    
    Alopecia 	(Later stage hair loss)
    
        Rump
        Flank
    
    


"
632,Bad Breath in Cats," of Bad Breath in Cats
Symptoms of bad breath in cats may include:


	
	Smelly saliva
	
	
	Excessive drooling
	
	
	Red, sore gums
	
	
	Dark yellow, brown, or green material on the surface of the teeth
	
	
	Decreased appetite or difficulty chewing
	


"
633,Bacterial Skin Infections (Pyoderma) in Cats," of Bacterial Skin Infections in Cats
Signs of bacterial skin infection in a cat may include:


	
	Excessive scale or dander, especially on the lower back near the tail
	
	
	Crusts
	
	
	Small, firm bumps on the skin (miliary dermatitis)
	
	
	Hair loss
	
	
	Redness
	
	
	Open sores or ulcers
	
	
	Blood and discharge from sores
	
	
	Skin odor
	
	
	Scratching, licking, or rubbing the skin (itchiness)
	

"
634,Bacterial Infection (Tyzzer Disease) in Cats," and Types

Due to the severity of the liver damage, some cats with Tyzzer disease may die within 24-48 hours. Some early signs of the disease include:


    Lethargy
    Depression
    Loss of appetite
    Diarrhea
    Abdominal pain and discomfort
    Liver enlargement
    Abdominal distension
    Low body temperature


"
635,Bacterial Infection (Streptococcus) in Cats,"



Some of the common symptoms of this infection include:




	Pain
	Fever
	Arthritis
	Lethargy
	Coughing
	Pneumonia
	Abscess(es)
	Difficulty swallowing due to swelling (tonsillitis)




"
636,Bacterial Infection (Nocardiosis) in Cats," and Types

Symptoms of nocardiosis are largely dependent on the site of infection. If, for example, it occurs in the pleural body cavity, which includes the lungs and surrounding membranes, symptoms can include emaciation, fever, and raspy, labored breathing (dyspnea). If it is a skin infection, symptoms can include the presence of chronic non-healing wounds and, if left untreated, draining lymph nodes. If the infection is not localized in one specific area of the body (also known as disseminated), the symptoms may include fever, weight loss, and lethargic behavior.

"
